"a_ID","Police_Force.x","a_type.x","a_veh.x","a_cas.x","a_date.x","a_day.x","a_time.x","a_gd1.x","a_gd2.x","LGDNAME.x","a_ctype.x","a_speed.x","a_jdet.x","a_jcont.x","a_pedhum.x","a_pedphys.x","a_light.x","a_weat.x","a_roadsc.x","a_speccs.x","a_chaz.x","a_scene.x","Urban_Rural.x","year.x","X.x","Y.x","CLASS","NAME","ROAD_NUMBE","OA_CODE"
"A100005","Police Service of Northern Ireland",3,2,1,2013-10-24,"THU","17:50",334227,374339,"Belfast City",2,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"URBAN","2013",-5.92382124484206,54.5994520810495,"U","ANN STREET","U0624","95GG390015"
"A100035","Police Service of Northern Ireland",3,2,3,2013-10-26,"SAT","20:10",334368,374363,"Belfast City",2,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"URBAN","2013",-5.92163013128806,54.5996301034569,"U","BERRY STREET","U0621","95GG200003"
"A100127","Police Service of Northern Ireland",3,2,1,2013-11-01,"FRI","00:37",333496,374705,"Belfast City",13,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"URBAN","2013",-5.93495764471024,54.6029311829617,"A","MAY STREET","A0020","95GG350004"
"A100200","Police Service of Northern Ireland",3,2,1,2013-11-04,"MON","13:41",334199,375484,"Belfast City",13,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"URBAN","2013",-5.92373088022188,54.6097383981571,"A","YORK STREET","A0002","95GG200003"
"A100282","Police Service of Northern Ireland",3,1,1,2013-11-08,"FRI","15:45",333720,374166,"Belfast City",13,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"URBAN","2013",-5.93173924905482,54.5980332821678,"U","EXCHANGE STREET","U0620","95GG210002"
"A100294","Police Service of Northern Ireland",3,1,2,2013-11-09,"SAT","01:41",333532,373967,"Belfast City",13,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"URBAN","2013",-5.93473647211624,54.5962964608322,"U","UPPER QUEEN STREET","U0624","95GG390012"
"A100389","Police Service of Northern Ireland",3,2,2,2013-11-14,"THU","16:30",334278,374352,"Belfast City",2,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"URBAN","2013",-5.9230267419699,54.5995552505858,"U","ANN STREET","U0624","95GG200003"
"A100588","Police Service of Northern Ireland",3,1,1,2013-11-25,"MON","11:00",334397,374006,"Belfast City",13,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"URBAN","2013",-5.92134506761952,54.5964175433785,"U","MONTGOMERY STREET","U0624","95GG390013"
"A100673","Police Service of Northern Ireland",3,1,1,2013-11-29,"FRI","09:10",333911,374152,"Belfast City",13,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"URBAN","2013",-5.92879248844595,54.5978570822663,"U","COARS LANE","U0620","95GG390015"
"A100942","Police Service of Northern Ireland",3,1,1,2013-12-13,"FRI","08:00",334201,374124,"Belfast City",2,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"URBAN","2013",-5.92432148214194,54.5975288794451,"A","YORK STREET","A0002","95GG390015"
"A100978","Police Service of Northern Ireland",3,2,1,2013-12-15,"SUN","03:30",333800,374763,"Belfast City",13,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"URBAN","2013",-5.93023035884629,54.6033715420777,"U","DONEGALL STREET","U0620","95GG200003"
"A101007","Police Service of Northern Ireland",3,1,2,2013-12-16,"MON","15:41",334201,374123,"Belfast City",2,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"URBAN","2013",-5.92432193898054,54.5975199022372,"A","YORK STREET","A0002","95GG390015"
"A101094","Police Service of Northern Ireland",3,1,1,2013-12-21,"SAT","01:10",333755,374836,"Belfast City",13,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"URBAN","2013",-5.93089296610941,54.6040387815774,"U","DONEGALL STREET","U0620","95GG350004"
"A101308","Police Service of Northern Ireland",3,2,2,2014-01-04,"SAT","23:40",333478,374408,"Belfast City",2,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"URBAN","2014",-5.93537096976549,54.6002696856205,"U","GLOUCESTER STREET","U0624","95GG210002"
"A101324","Police Service of Northern Ireland",3,2,1,2014-01-06,"MON","14:30",334200,374127,"Belfast City",2,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"URBAN","2014",-5.92433557287538,54.5975560763208,"A","YORK STREET","A0002","95GG390015"
"A101468","Police Service of Northern Ireland",3,2,2,2014-01-13,"MON","20:15",333643,374986,"Belfast City",13,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"URBAN","2014",-5.93255663891958,54.6054149724712,"U","DONEGALL STREET","U0620","95GG350005"
"A101508","Police Service of Northern Ireland",3,1,1,2014-01-16,"THU","10:00",333959,373955,"Belfast City",13,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"URBAN","2014",-5.92814017294912,54.5960758608711,"B","NORTH STREET","B0010","95GG390015"
"A101535","Police Service of Northern Ireland",3,2,2,2014-01-17,"FRI","14:59",334239,373982,"Belfast City",13,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"URBAN","2014",-5.92379884207334,54.5962440352037,"A","MAY STREET","A0020","95GG390011"
"A101621","Police Service of Northern Ireland",3,1,1,2014-01-22,"WED","15:40",334210,374126,"Belfast City",13,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"URBAN","2014",-5.92418141724912,54.5975444465048,"A","YORK STREET","A0002","95GG390015"
"A101705","Police Service of Northern Ireland",3,1,1,2014-01-28,"TUE","11:47",333742,374854,"Belfast City",13,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"URBAN","2014",-5.93108579686283,54.6042038093161,"A","DONEGALL SQUARE NORTH","A0001","95GG350004"
"A101719","Police Service of Northern Ireland",2,1,1,2014-01-29,"WED","10:30",333808,374083,"Belfast City",13,30,12,3,3,11,1,1,2,1,9,2,"URBAN","2014",-5.93041644451361,54.5972649044021,"A","DONEGALL SQUARE WEST","A0001","95GG390015"
"A101720","Police Service of Northern Ireland",3,2,2,2014-01-29,"WED","13:45",333689,374628,"Belfast City",13,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"URBAN","2014",-5.93200826805086,54.6021889634319,"A","MAY STREET","A0020","95GG350004"
"A101724","Police Service of Northern Ireland",3,2,1,2014-01-29,"WED","16:35",333942,374454,"Belfast City",13,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"URBAN","2014",-5.92817547167429,54.600559998913,"U","QUEEN STREET","U0624","95GG200003"
"A101744","Police Service of Northern Ireland",3,1,1,2014-01-30,"THU","16:20",333613,374163,"Belfast City",2,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"URBAN","2014",-5.93339499597469,54.5980346199443,"U","ROSEMARY STREET","U0620","95GG210002"
"A101794","Police Service of Northern Ireland",3,1,1,2014-02-02,"SUN","16:15",333946,375022,"Belfast City",13,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"URBAN","2014",-5.92785454181644,54.6056580009954,"A","YORK STREET","A0002","95GG200003"
"A101834","Police Service of Northern Ireland",3,2,2,2014-02-04,"TUE","18:25",333493,374707,"Belfast City",13,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"URBAN","2014",-5.93500312572503,54.6029499292091,"A","MAY STREET","A0020","95GG350004"
"A101904","Police Service of Northern Ireland",3,1,1,2014-02-08,"SAT","02:30",333902,374083,"Belfast City",2,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"URBAN","2014",-5.92896309282205,54.5972400351756,"A","DONEGALL SQUARE SOUTH","A0020","95GG390015"
"A101972","Police Service of Northern Ireland",3,1,1,2014-02-12,"WED","12:50",334200,375760,"Belfast City",13,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"URBAN","2014",-5.92358922363154,54.6122158355849,"A","YORK STREET","A0002","95GG200003"
"A102006","Police Service of Northern Ireland",3,1,1,2014-02-14,"FRI","14:25",333627,374241,"Belfast City",13,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"URBAN","2014",-5.93314305182596,54.5987311484413,"U","ROSEMARY STREET","U0620","95GG210002"
"A102109","Police Service of Northern Ireland",3,1,1,2014-02-21,"FRI","15:50",333524,374290,"Belfast City",13,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"URBAN","2014",-5.93471334254266,54.5991982293319,"U","MONTGOMERY STREET","U0624","95GG210002"
"A102190","Police Service of Northern Ireland",3,2,2,2014-02-26,"WED","20:15",333559,373912,"Belfast City",13,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"URBAN","2014",-5.93434403223596,54.5957955846311,"A","HIGH STREET","A0501","95GG390015"
"A102359","Police Service of Northern Ireland",3,1,1,2014-03-06,"THU","22:40",333855,374856,"Belfast City",13,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"URBAN","2014",-5.92933747333767,54.6041918727853,"A","YORK STREET","A0002","95GG200003"
"A102371","Police Service of Northern Ireland",2,1,1,2014-03-07,"FRI","12:59",333938,374099,"Belfast City",2,30,6,1,1,11,1,1,1,1,1,2,"URBAN","2014",-5.9283991956393,54.5973741418752,"A","WARING STREET","A0002","95GG390015"
