"Accident_Index","Speed_limit","year","Location_Easting_OSGR","Location_Northing_OSGR","Longitude","Latitude"
"0003519",20,2019,326900,675780,-3.17272791317325,55.9694324915731
"0021119",30,2019,319830,670150,-3.28429201301559,55.9177313599465
"0029919",30,2019,330018,674376,-3.12241960215091,55.9572855071542
"0057519",20,2019,326649,677029,-3.17708904051561,55.980613704405
"0051619",30,2019,315115,672529,-3.36045728507244,55.9382904824825
"0059219",40,2019,311752,671829,-3.41404664908026,55.931396883604
"0039119",20,2019,324930,672628,-3.20340300823656,55.9408145185925
"0039319",20,2019,326514,676916,-3.17922111720245,55.9795779719881
"0042119",20,2019,325990,676000,-3.1873642536059,55.9712691347426
"0053019",30,2019,322327,671894,-3.24485310858809,55.933807206891
"0053219",30,2019,330001,674370,-3.12269025749172,55.9572291289807
"0055619",20,2019,325706,673319,-3.19117330370934,55.9471423546479
"0061619",30,2019,328259,671599,-3.14984610604192,55.9320800620801
"0062919",20,2019,325396,673353,-3.19614523222048,55.9473996867548
"0066619",20,2019,326101,672110,-3.18451847739702,55.9363430785038
"0042319",20,2019,320891,675670,-3.26894144578874,55.9674909115702
"0042419",20,2019,324495,671916,-3.21016588935173,55.9343505781427
"0040619",30,2019,328830,669146,-3.14006169511287,55.9101296978271
"0035019",30,2019,324610,676014,-3.20947301524753,55.9711799325327
"0038719",20,2019,327542,674419,-3.16207815917379,55.9573042210067
"0040219",20,2019,324837,673720,-3.20519621847647,55.9506091502741
"0040919",20,2019,325160,674170,-3.20015023233751,55.9547018755619
"0041419",30,2019,311988,672108,-3.41036165498329,55.9339461711214
"0051019",30,2019,319800,670095,-3.28475553174647,55.917232314798
"0012719",40,2019,331220,672930,-3.10280283676027,55.9444698032262
"0012819",20,2019,326000,673410,-3.18649191127842,55.9480052083947
"0039019",20,2019,326302,672668,-3.18145433366159,55.9413864035293
"0032219",20,2019,326794,672482,-3.17352892333038,55.9397908641952
"0034019",30,2019,329046,670160,-3.13687376613004,55.9192704294829
"0020119",30,2019,327030,675220,-3.17049373438618,55.964421894322
"0018819",30,2019,322960,675740,-3.23582391752432,55.9684564713922
"0019119",20,2019,324420,674670,-3.21213885862232,55.9590772570498
"0027219",20,2019,324633,673689,-3.2084534714301,55.9502986929843
"0027519",20,2019,326166,674527,-3.18414081786971,55.9580645895407
"0019219",20,2019,326170,672950,-3.18364437792957,55.9438992834628
"0024919",30,2019,321505,671462,-3.25788118249221,55.9297930742075
