"Accident_Index","Location_Easting_OSGR","Location_Northing_OSGR","Longitude","Latitude","Police_Force","Accident_Severity","Number_of_Vehicles","Number_of_Casualties","Date","Day_of_Week","Time","Local_Authority_.District.","Local_Authority_.Highway.","X1st_Road_Class","X1st_Road_Number","Road_Type","Speed_limit","Junction_Detail","Junction_Control","X2nd_Road_Class","X2nd_Road_Number","Pedestrian_Crossing.Human_Control","Pedestrian_Crossing.Physical_Facilities","Light_Conditions","Weather_Conditions","Road_Surface_Conditions","Special_Conditions_at_Site","Carriageway_Hazards","Urban_or_Rural_Area","Did_Police_Officer_Attend_Scene_of_Accident","LAYER","ImplementationZone"
"2013950000001",325390,673780,-3.196375,55.95128,95,"Slight collision",2,1,2013-12-31,3,16:30:00,923,"S12000036",6,0,6,30,0,-1,-1,0,0,0,4,1,1,0,0,1,1,"20mph main streets",1
"2013950000002",323260,676890,-3.231364,55.97888,95,"Slight collision",1,1,2013-12-31,3,12:30:00,923,"S12000036",5,0,6,30,3,4,6,0,0,4,1,1,2,0,0,1,2,"30mph",2
"2013950000003",327910,674590,-3.156246,55.958941,95,"Slight collision",2,2,2013-12-31,3,17:25:00,923,"S12000036",6,0,1,30,1,4,6,0,0,0,4,2,2,0,0,1,1,"20mph main streets",2
"2013950000007",325630,673530,-3.192464,55.949071,95,"Slight collision",2,1,2013-12-20,6,19:00:00,923,"S12000036",5,0,6,30,6,2,5,0,0,5,4,9,1,0,0,1,2,"20mph main streets",1
"2013950000010",321540,676410,-3.25878,55.97429,95,"Slight collision",1,1,2013-12-31,3,18:30:00,923,"S12000036",6,0,3,30,0,-1,-1,0,0,0,4,1,2,0,0,1,1,"30mph",4
"2013950000030",327130,676530,-3.169262,55.97625,95,"Slight collision",1,1,2013-01-01,3,03:00:00,923,"S12000036",3,199,6,30,6,2,6,0,0,5,4,1,3,0,0,1,1,"20mph main streets",2
"2013950000033",322700,672620,-3.239109,55.940434,95,"Slight collision",1,1,2013-01-02,4,12:56:00,923,"S12000036",6,0,6,30,0,-1,-1,0,0,0,1,1,1,0,0,1,1,"30mph",3
"2013950000034",330060,673770,-3.121604,55.951893,95,"Slight collision",2,2,2013-01-02,4,16:24:00,923,"S12000036",3,6106,6,30,3,4,6,0,0,5,1,1,2,0,0,1,1,"30mph",3
"2013950000052",326211,672840,-3.182974,55.942963,95,"Slight collision",3,1,2013-01-03,5,13:45:00,923,"S12000036",3,7,6,30,0,-1,-1,0,0,0,1,1,1,0,0,1,1,"20mph main streets",1
"2013950000068",312172,672551,-3.407582,55.938004,95,"Slight collision",1,1,2013-01-04,6,14:07:00,923,"S12000036",6,0,6,30,0,-1,-1,0,0,0,1,1,1,0,0,2,1,"20mph existing streets",7
