"nearest_line_id","ID","Accident_Index","Location_Easting_OSGR","Location_Northing_OSGR","Longitude.before","Latitude.before","Police_Force","Accident_Severity","Number_of_Vehicles","Number_of_Casualties","Date","Day_of_Week","Time","Local_Authority_.District.","Local_Authority_.Highway.","X1st_Road_Class","X1st_Road_Number","Road_Type","Speed_limit","Junction_Detail","Junction_Control","X2nd_Road_Class","X2nd_Road_Number","Pedestrian_Crossing.Human_Control","Pedestrian_Crossing.Physical_Facilities","Light_Conditions","Weather_Conditions","Road_Surface_Conditions","Special_Conditions_at_Site","Carriageway_Hazards","Urban_or_Rural_Area","Did_Police_Officer_Attend_Scene_of_Accident","LSOA_of_Accident_Location","year","Longitude","Latitude","snap_dist","X","Y","optional","FEATID","LAYER","Shape_Length"
"1",1025,"2014950003991",325870,671540,-3.188074,55.931232,95,3,1,1,"2014-07-21",2,17:20:00,923,"S12000036",6,0,6,30,0,-1,-1,0,0,0,1,1,1,0,0,1,1,NA,"2014",-3.18805858195069,55.9311872529916,2.77805023142674,-3.18807381894155,55.9312105156381,TRUE,1,"20mph existing streets",919.837993080406
"100",2993,"2018950000480",319260,673390,-3.294379,55.946734,95,3,3,3,"2018-04-12",5,13:45:00,923,"S12000036",4,701,6,30,3,4,6,0,0,5,1,1,1,0,0,1,1,NA,"2018",-3.29437959663232,55.9467391800333,5.11450657038452,-3.29437700506635,55.9466935777301,TRUE,100,"20mph existing streets",944.307292792822
"1002",2427,"2016950000131",327640,674290,-3.159046,55.956218,95,3,1,1,"2016-01-10",1,14:30:00,923,"S12000036",6,0,6,30,3,4,6,0,0,0,1,2,2,0,0,1,1,NA,"2016",-3.16047425556712,55.9561602176609,6.7784202888908,-3.16054694472146,55.9562048795227,TRUE,1002,"20mph existing streets",208.668546497607
"101",2364,"2015950005695",318870,673390,-3.300622,55.946673,95,3,1,1,"2015-12-15",3,16:30:00,923,"S12000036",6,0,6,30,3,4,6,0,0,0,4,2,2,0,0,1,1,NA,"2015",-3.30062244296823,55.9466734282779,0.624434752114648,-3.30063229560699,55.9466727485116,TRUE,101,"20mph existing streets",441.089863970959
"1016",31,"2013950004051",327860,674090,-3.156913,55.954442,95,3,1,1,"2013-08-03",7,04:56:00,923,"S12000036",6,0,6,20,0,-1,-1,0,0,1,4,1,1,0,0,1,1,NA,"2013",-3.15689800876962,55.9543967641346,1.25504423561263,-3.15690144947945,55.9543857339881,TRUE,1016,"20mph existing streets",351.090096409836
"1028",2132,"2015950004165",322260,676170,-3.24716,55.972206,95,2,1,1,"2015-09-20",1,20:15:00,923,"S12000036",6,0,6,30,9,4,6,0,0,0,4,1,1,0,0,1,1,NA,"2015",-3.24715982284441,55.9722060389799,0.265896781318982,-3.24716030278225,55.9722083958163,TRUE,1028,"20mph existing streets",125.902200949054
"1030",2252,"2015950005009",323360,672680,-3.228546,55.941034,95,3,2,1,"2015-11-04",4,11:40:00,923,"S12000036",6,0,6,30,3,4,6,0,0,0,1,2,2,0,0,1,1,NA,"2015",-3.22854614638138,55.9410335703661,3.08977777854957,-3.22854414401339,55.9410060279345,TRUE,1030,"20mph existing streets",387.665236652699
"1064",2508,"2016950000912",327110,671130,-3.166679,55.927749,95,3,2,1,"2016-02-05",6,17:20:00,923,"S12000036",3,7,6,30,9,4,6,0,0,5,4,5,2,0,0,1,1,NA,"2016",-3.16810568744371,55.9276940567222,0.782439585984692,-3.16811190886926,55.9277001010551,TRUE,1064,"20mph existing streets",513.305875750324
"1100",2695,"2016950002168",327690,667890,-3.156531,55.898728,95,3,2,2,"2016-05-01",1,14:11:00,923,"S12000036",6,0,6,30,6,4,6,0,0,0,1,2,2,0,0,1,1,NA,"2016",-3.15795750133248,55.8986769132892,1.17411788903545,-3.15794152721701,55.8986715106974,TRUE,1100,"20mph existing streets",744.389672399045
"113",767,"2014950002259",323400,676590,-3.229035,55.976208,95,3,1,1,"2014-04-25",6,15:00:00,923,"S12000036",6,0,6,30,0,-1,-1,0,0,0,1,1,1,0,0,1,1,NA,"2014",-3.22901868632615,55.9761621960176,2.61201602284021,-3.22905943678573,55.9761576203762,TRUE,113,"20mph existing streets",3490.31588526139
